run_id,learning_rate,n_steps,gamma,gae_lambda,ent_coef,vf_coef,max_grad_norm,total_timesteps,note,mean_reward,std_reward,convergence_episode,train_time_s
1,0.0007,5,0.99,1.0,0.0,0.5,0.5,40000,Baseline,48.9,6.7,6,57.93
2,0.002,5,0.99,1.0,0.0,0.5,0.5,40000,High LR,46.05,14.127,64,59.89
3,0.0001,5,0.99,1.0,0.0,0.5,0.5,40000,Low LR,48.7,9.078,5,57.58
4,0.0007,20,0.99,1.0,0.0,0.5,0.5,40000,More steps,41.6,16.704,9,38.35
5,0.0007,50,0.99,1.0,0.0,0.5,0.5,40000,Many steps,43.15,13.916,8,32.45
6,0.0007,5,0.999,1.0,0.0,0.5,0.5,40000,High gamma,42.95,15.75,5,57.07
7,0.0007,5,0.99,1.0,0.05,0.5,0.5,40000,With entropy,40.85,14.581,7,56.5
8,0.0007,5,0.99,1.0,0.0,1.0,0.5,40000,High vf_coef,42.8,17.623,7,55.75
9,0.0007,10,0.99,0.9,0.01,0.5,1.0,40000,GAE lambda 0.9,49.15,6.237,5,43.16
10,0.0005,20,0.995,0.95,0.02,0.5,0.5,40000,Tuned best,45.5,10.784,5,38.47
