run_id,learning_rate,n_steps,batch_size,n_epochs,gamma,gae_lambda,clip_range,ent_coef,vf_coef,total_timesteps,note,mean_reward,std_reward,convergence_episode,train_time_s
1,0.0003,128,64,10,0.99,0.95,0.2,0.01,0.5,40000,Baseline,36.25,20.369,7,49.25
2,0.001,128,64,10,0.99,0.95,0.2,0.01,0.5,40000,High LR,45.65,12.732,5,49.13
3,0.0001,128,64,10,0.99,0.95,0.2,0.01,0.5,40000,Low LR,34.65,19.139,5,49.8
4,0.0003,256,64,10,0.99,0.95,0.3,0.01,0.5,40000,Wide clip,46.15,10.805,5,51.32
5,0.0003,128,64,10,0.99,0.95,0.1,0.01,0.5,40000,Narrow clip,51.55,3.118,6,52.24
6,0.0003,128,64,20,0.99,0.95,0.2,0.01,0.5,40000,More epochs,51.5,1.5,8,73.7
7,0.0003,128,64,10,0.99,0.95,0.2,0.05,0.5,40000,High entropy coef,50.15,3.634,12,52.45
8,0.0003,128,64,10,0.99,0.95,0.2,0.01,1.0,40000,High vf_coef,50.15,7.315,5,53.25
9,0.0003,256,128,10,0.999,0.99,0.2,0.01,0.5,40000,Long horizon (gae=0.99),49.05,7.551,5,43.14
10,0.0002,256,64,15,0.995,0.97,0.2,0.02,0.5,40000,Tuned best,47.75,8.756,8,61.46
