run_id,note,learning_rate,gamma,n_episodes,hidden_size,entropy_coef,max_grad_norm,mean_reward,std_reward,convergence_episode,train_time_s
1,Baseline,0.001,0.95,500,64,0.01,0.5,-8.95,22.298,5,10.65
2,High LR,0.005,0.95,500,64,0.01,0.5,-15.65,11.05,5,8.85
3,Low LR,0.0001,0.99,500,64,0.01,0.5,36.65,26.373,5,8.93
4,High gamma,0.001,0.999,500,64,0.01,0.5,5.0,22.591,5,8.75
5,Low gamma,0.001,0.9,500,64,0.01,0.5,-6.25,19.161,10,8.92
6,Larger network,0.001,0.95,500,128,0.01,0.5,-20.3,7.243,5,8.97
7,Smaller network,0.001,0.95,500,32,0.01,0.5,-12.95,11.262,11,7.86
8,High entropy,0.001,0.95,500,64,0.05,0.5,-1.3,14.593,5,8.89
9,Low entropy,0.001,0.95,500,64,0.001,0.5,14.55,24.124,7,8.69
10,Tuned best,0.002,0.99,600,128,0.02,1.0,30.4,27.508,5,10.82
